2016-01-06 16:51:05
Delta Theta LowAlpha HighAlpha LowBeta HighBeta LowGamma HighGamma
259522 275076 30498 55837 73361 35015 10599 12425
2422802 82624 101968 281226 131201 64922 15907 20769
975873 209945 84676 31566 155916 158496 100233 70572
669971 204490 287817 50878 64704 89048 77214 101549
98419 543727 125542 414578 208216 191126 148592 69402
539630 910297 74457 57029 137276 167232 90386 51675
882085 227561 81971 161891 29884 154661 65914 58804
443576 554404 112331 92334 98246 146166 166628 48170
1175753 757450 180479 381237 453438 342117 105709 94631
206066 315076 209169 140790 100446 96110 108154 35674
1177891 114827 6968 9211 13095 22260 17918 15982
330772 1976332 278496 1214816 729407 525770 1292252 1517287
1307472 363370 196251 155868 119380 123020 37988 39646
615516 270724 755898 694370 457195 382882 438667 75171
1536818 124698 88911 253462 76782 120218 103515 145943
1477311 536449 161786 158584 87577 248160 259400 135871
1122579 303219 250937 64907 55063 103781 106852 125648
1464883 237793 80597 86629 200062 118295 86880 129829
1083275 117114 150282 65081 187385 151421 149641 45944
143686 35229 26412 24734 62538 34032 19175 25131
552112 45086 17703 11575 73053 18401 11593 2112
852663 623577 343444 399579 235568 505792 419098 213181
134090 29241 14383 49154 19356 32541 54633 12751
1197802 212440 202065 165653 40493 162124 113400 91384
1312162 259459 326125 50768 192636 571419 471471 313769
313498 236525 58674 56786 18318 30528 20734 11071
737366 274073 125900 56102 103668 111461 173348 74227
752764 108962 50153 133242 290806 92451 172827 95773
2094453 1390468 41763 60885 117707 366608 154182 151039
310523 818410 139018 77452 199721 119262 109534 77150
576152 521378 43834 100858 101334 282643 69632 77499
909427 1337419 578882 328170 639869 582557 571911 296965
1429926 216992 551741 248495 132371 319011 86353 87434
1314074 650790 334892 681617 330295 585819 356411 326126
579327 59194 55492 41064 159622 109791 54863 31603
168340 338943 269270 197503 81024 55219 130466 48087
1235103 203370 294700 51044 152662 90454 261289 83666
533006 88068 32373 52847 43774 86685 45460 15286
97572 34348 45818 5555 10224 34509 35219 32664
191544 42401 7263 25237 15809 38291 55748 24949
925230 174336 188059 35144 43629 112775 101114 54382
787107 425096 69560 93292 96145 98013 66052 19213
317244 177168 3812 42900 82642 46972 18783 15400
1532106 240610 33948 71946 49010 47907 59266 23582
852679 357280 128974 89649 55590 106094 103427 74313
366126 142123 51098 105178 145075 117106 82809 58443
1916725 303495 497565 83682 93743 61159 66699 55907
127211 56862 48169 60903 52682 72120 45219 19876
924472 156002 189665 52573 93640 39939 72150 37784
160374 181744 9448 41031 44353 86552 64152 69419
288389 497439 58166 202660 109328 110845 55038 129077
1252742 642459 17369 71373 160566 163410 229954 211410
1078235 714699 462368 457173 158362 367285 369980 310476
555222 63952 57719 35743 23968 52321 89124 44642
54621 45378 18606 29906 53620 34998 54314 16620
1873642 379914 59370 144870 44375 90974 73225 58729
1172458 322575 50401 145595 691500 163305 100086 109778
154593 40950 28729 13345 25533 10795 25698 17813
463136 107137 85718 66935 71734 74499 15321 31863
1009225 205375 140841 196078 63007 93023 126369 87314
1038762 17874 76267 96518 55275 171772 232882 61370
1264641 404337 374965 448048 58503 203537 179590 138391
670421 166265 143697 266671 95525 173867 215462 224516
126096 287614 264536 174810 181831 102223 72877 77815
